# 7 out of 7 mutations
# 1 tree
6 #edges, tree 1
1 3
7 6
7 4
6 2
1 7
3 5
1 #anatomical sites
3 #samples
7 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	R	0	1	0.49	0.49
0	R1	0	R	1	2	0.1635014705882353	0.1635014705882353
0	R1	0	R	2	3	0.00010888888888888886	0.00010888888888888886
0	R1	0	R	3	4	0.0020631578947368423	0.0020631578947368423
0	R1	0	R	4	5	0.00010888888888888886	0.00010888888888888886
0	R1	0	R	5	6	0.41002684210526313	0.41002684210526313
0	R1	0	R	6	7	0.41208999999999996	0.41208999999999996
1	R2	0	R	0	1	0.61	0.61
1	R2	0	R	1	2	0.0	0.0
1	R2	0	R	2	3	0.5229733333333333	0.5229733333333333
1	R2	0	R	3	4	0.0	0.0
1	R2	0	R	4	5	0.11529	0.11529
1	R2	0	R	5	6	0.0005545454545454546	0.0005545454545454546
1	R2	0	R	6	7	0.0061	0.0061
2	R3	0	R	0	1	0.33999028571428574	0.33999028571428574
2	R3	0	R	1	2	0.0013000000000000002	0.0013000000000000002
2	R3	0	R	2	3	0.0017000000000000001	0.0017000000000000001
2	R3	0	R	3	4	0.14691578947368422	0.14691578947368422
2	R3	0	R	4	5	0.0017000000000000001	0.0017000000000000001
2	R3	0	R	5	6	0.012363636363636363	0.012363636363636363
2	R3	0	R	6	7	0.27608	0.27608
