# 5 out of 5 mutations
# 2 tree
4 #edges, tree 1
1 2
1 5
1 3
1 4
4 #edges, tree 2
4 2
1 5
1 3
1 4
1 #anatomical sites
4 #samples
5 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	A_0	0	A	0	1	0.9991935483870967	0.9991935483870967
0	A_0	0	A	1	2	0.16599999999999998	0.16599999999999998
0	A_0	0	A	2	3	0.0	0.0
0	A_0	0	A	3	4	0.5483333333333333	0.5483333333333333
0	A_0	0	A	4	5	0.02	0.02
1	A_1	0	A	0	1	0.977741935483871	0.977741935483871
1	A_1	0	A	1	2	0.0	0.0
1	A_1	0	A	2	3	0.332	0.332
1	A_1	0	A	3	4	0.01	0.01
1	A_1	0	A	4	5	0.0	0.0
2	A_2	0	A	0	1	0.9985483870967742	0.9985483870967742
2	A_2	0	A	1	2	0.001	0.001
2	A_2	0	A	2	3	0.005	0.005
2	A_2	0	A	3	4	0.02	0.02
2	A_2	0	A	4	5	0.22	0.22
3	A_3	0	A	0	1	0.9586559139784946	0.9586559139784946
3	A_3	0	A	1	2	0.083	0.083
3	A_3	0	A	2	3	0.0	0.0
3	A_3	0	A	3	4	0.5	0.5
3	A_3	0	A	4	5	0.014	0.014
