# 5 out of 5 mutations
# 1 tree
4 #edges, tree 2
4 2
1 5
1 3
1 4
1 #anatomical sites
4 #samples
5 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	R	0	1	0.599516129032258	0.599516129032258
0	R1	0	R	1	2	0.09959999999999998	0.09959999999999998
0	R1	0	R	2	3	0.0	0.0
0	R1	0	R	3	4	0.329	0.329
0	R1	0	R	4	5	0.012	0.012
1	R2	0	R	0	1	0.3813193548387097	0.3813193548387097
1	R2	0	R	1	2	0.0	0.0
1	R2	0	R	2	3	0.12948	0.12948
1	R2	0	R	3	4	0.0039000000000000003	0.0039000000000000003
1	R2	0	R	4	5	0.0	0.0
2	R3	0	R	0	1	0.5192451612903226	0.5192451612903226
2	R3	0	R	1	2	0.0005200000000000001	0.0005200000000000001
2	R3	0	R	2	3	0.0026000000000000003	0.0026000000000000003
2	R3	0	R	3	4	0.010400000000000001	0.010400000000000001
2	R3	0	R	4	5	0.1144	0.1144
3	R4	0	R	0	1	0.46974139784946234	0.46974139784946234
3	R4	0	R	1	2	0.040670000000000005	0.040670000000000005
3	R4	0	R	2	3	0.0	0.0
3	R4	0	R	3	4	0.245	0.245
3	R4	0	R	4	5	0.00686	0.00686
