# 8 out of 8 mutations
# 2 tree
7 #edges, tree 1
4 6
6 8
5 7
1 4
2 1
1 5
2 3
7 #edges, tree 2
4 6
6 8
1 4
2 1
1 5
2 3
1 7
1 #anatomical sites
5 #samples
8 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	A_0	0	A	0	1	0.0020359281437125746	0.0020359281437125746
0	A_0	0	A	1	2	0.9103703703703704	0.9103703703703704
0	A_0	0	A	2	3	0.73	0.73
0	A_0	0	A	3	4	0.0	0.0
0	A_0	0	A	4	5	0.0	0.0
0	A_0	0	A	5	6	0.0	0.0
0	A_0	0	A	6	7	0.0	0.0
0	A_0	0	A	7	8	0.008	0.008
1	A_1	0	A	0	1	0.9875449101796407	0.9875449101796407
1	A_1	0	A	1	2	0.9894814814814815	0.9894814814814815
1	A_1	0	A	2	3	0.0	0.0
1	A_1	0	A	3	4	0.17588235294117646	0.17588235294117646
1	A_1	0	A	4	5	0.39107142857142857	0.39107142857142857
1	A_1	0	A	5	6	0.03076923076923077	0.03076923076923077
1	A_1	0	A	6	7	0.3383333333333334	0.3383333333333334
1	A_1	0	A	7	8	0.01	0.01
2	A_2	0	A	0	1	0.9895808383233533	0.9895808383233533
2	A_2	0	A	1	2	0.9898518518518519	0.9898518518518519
2	A_2	0	A	2	3	0.0	0.0
2	A_2	0	A	3	4	0.8211764705882353	0.8211764705882353
2	A_2	0	A	4	5	0.07785714285714286	0.07785714285714286
2	A_2	0	A	5	6	0.7153846153846154	0.7153846153846154
2	A_2	0	A	6	7	0.011666666666666667	0.011666666666666667
2	A_2	0	A	7	8	0.69	0.69
3	A_3	0	A	0	1	0.978622754491018	0.978622754491018
3	A_3	0	A	1	2	0.9897777777777778	0.9897777777777778
3	A_3	0	A	2	3	0.0	0.0
3	A_3	0	A	3	4	0.49470588235294116	0.49470588235294116
3	A_3	0	A	4	5	0.6585714285714286	0.6585714285714286
3	A_3	0	A	5	6	0.40076923076923077	0.40076923076923077
3	A_3	0	A	6	7	0.0	0.0
3	A_3	0	A	7	8	0.038	0.038
4	A_4	0	A	0	1	0.9980838323353294	0.9980838323353294
4	A_4	0	A	1	2	0.9997777777777778	0.9997777777777778
4	A_4	0	A	2	3	0.0	0.0
4	A_4	0	A	3	4	0.44323529411764706	0.44323529411764706
4	A_4	0	A	4	5	0.7832142857142858	0.7832142857142858
4	A_4	0	A	5	6	0.5584615384615385	0.5584615384615385
4	A_4	0	A	6	7	0.0016666666666666668	0.0016666666666666668
4	A_4	0	A	7	8	0.386	0.386
