# 8 out of 8 mutations
# 1 tree
7 #edges, tree 3
3 2
1 3
6 8
7 6
5 7
1 4
1 5
1 #anatomical sites
3 #samples
8 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	R	0	1	0.6797462033462034	0.6797462033462034
0	R1	0	R	1	2	0.23460000000000003	0.23460000000000003
0	R1	0	R	2	3	0.5553062033462033	0.5553062033462033
0	R1	0	R	3	4	0.0	0.0
0	R1	0	R	4	5	0.12444000000000001	0.12444000000000001
0	R1	0	R	5	6	0.0022666666666666664	0.0022666666666666664
0	R1	0	R	6	7	0.0022666666666666664	0.0022666666666666664
0	R1	0	R	7	8	0.0	0.0
1	R2	0	R	0	1	0.7696828828828829	0.7696828828828829
1	R2	0	R	1	2	0.0	0.0
1	R2	0	R	2	3	0.0	0.0
1	R2	0	R	3	4	0.12384166666666667	0.12384166666666667
1	R2	0	R	4	5	0.6458412162162163	0.6458412162162163
1	R2	0	R	5	6	0.117425	0.117425
1	R2	0	R	6	7	0.6458412162162163	0.6458412162162163
1	R2	0	R	7	8	0.0015400000000000001	0.0015400000000000001
2	R3	0	R	0	1	0.8398378378378378	0.8398378378378378
2	R3	0	R	1	2	0.0	0.0
2	R3	0	R	2	3	0.0	0.0
2	R3	0	R	3	4	0.0168	0.0168
2	R3	0	R	4	5	0.7602	0.7602
2	R3	0	R	5	6	0.6594	0.6594
2	R3	0	R	6	7	0.6846	0.6846
2	R3	0	R	7	8	0.4452	0.4452
